Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BmeT110I OR BsoBI) AND (BsiSI OR MspI),237_1137,80_980,365.0,25.19,974.05,37.31,3.42628838622784,0.967922382864383,0.25|0.2,365
(Bpu10I) AND (BsiSI OR MspI),257_757,100_600,363.0,25.05,1133.318,32.07,3.49444516149786,0.967785236918796,0.25|0.2,363
(BspMI) AND (BsiSI OR MspI),337_1137,180_980,364.0,25.12,1148.543,31.64,3.49904587562351,0.994055021783897,0.25|0.2,364
(BlpI OR Bpu1102I) AND (BsiSI OR MspI),197_1157,40_1000,364.0,25.12,1272.937,28.55,3.54370552650153,0.973253806707434,0.25|0.2,364
(Alw21I OR BsiHKAI) AND (BsiSI OR MspI),317_777,160_620,381.0,26.29,1346.92,26.98,3.54841682599367,0.958943974831602,0.25|0.2,381
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (BsiSI OR MspI),217_1157,60_1000,363.0,25.05,1284.247,28.3,3.54874193484987,0.979284575352484,0.25|0.2,363
(BsiSI OR MspI) AND (XcmI),257_1157,100_1000,367.0,25.33,1320.887,27.51,3.55619960167769,0.984600714407188,0.25|0.2,367
(BsiSI OR MspI) AND (BtgI),277_1157,120_1000,369.0,25.47,1339.648,27.13,3.55996433389245,0.986893553733088,0.25|0.2,369
(BplI) AND (BsiSI OR MspI),197_1157,40_1000,371.0,25.6,1355.013,26.82,3.56256955223832,0.890749594464363,0.25|0.2,371
(BsiSI OR MspI) AND (TaqI),297_1157,140_1000,366.0,25.26,1399.787,25.96,3.58258087045359,0.987271964716466,0.25|0.2,366
(BsiSI OR MspI) AND (Eco147I OR PceI OR SseBI OR StuI),177_1137,20_980,364.0,25.12,1407.319,25.82,3.58729116740116,0.980409467468130,0.25|0.2,364
(BseRI) AND (BsiSI OR MspI),317_917,160_760,374.0,25.81,1458.884,24.91,3.59114915908111,0.985198519825898,0.25|0.2,374
(BsiSI OR MspI) AND (Bsp19I OR NcoI),197_1157,40_1000,365.0,25.19,1429.901,25.41,3.59301310542672,0.975194678242691,0.25|0.2,365
(BmrI OR BmuI) AND (BsiSI OR MspI),317_1157,160_1000,373.0,25.74,1484.684,24.48,3.59992519648427,0.986503352817579,0.25|0.2,373
(AxyI OR Bse21I OR Bsu36I OR Eco81I) AND (BsiSI OR MspI),177_1157,20_1000,366.0,25.26,1466.892,24.77,3.60291705467201,0.988092017449148,0.25|0.2,366
(BanII OR Eco24I) AND (BsiSI OR MspI),317_1037,160_880,365.0,25.19,1465.818,24.79,3.60378718599699,0.976059289779303,0.25|0.2,365
(AccB7I OR PflMI OR Van91I) AND (BsiSI OR MspI),217_997,60_840,378.0,26.09,1518.248,23.94,3.60385091785822,0.969306160864717,0.25|0.2,378
(BsiSI OR MspI) AND (PpuMI OR Psp5II),257_1077,100_920,364.0,25.12,1472.338,24.68,3.60690613741517,0.975700047921027,0.25|0.2,364
(BsiSI OR MspI) AND (EcoO109I),317_937,160_780,375.0,25.88,1559.822,23.3,3.61904377368544,0.979975309729168,0.25|0.2,375
(BsgI) AND (BsiSI OR MspI),237_1157,80_1000,368.0,25.4,1544.47,23.53,3.62293165824949,0.986656761609827,0.25|0.2,368
(BglII) AND (BsiSI OR MspI),177_1157,20_1000,370.0,25.53,1567.627,23.18,3.62704101086795,0.990037498514736,0.25|0.2,370
(BpuEI) AND (BsiSI OR MspI),317_1137,160_980,365.0,25.19,1551.612,23.42,3.62849026527125,0.970927854637357,0.25|0.2,365
(BsiSI OR MspI) AND (PstI),197_1157,40_1000,364.0,25.12,1564.269,23.23,3.63321005508124,0.974562454130726,0.25|0.2,364
(BaeGI OR BseSI) AND (BsiSI OR MspI),297_1157,140_1000,363.0,25.05,1574.354,23.08,3.63719576687558,0.985577297257309,0.25|0.2,363
(AlwNI OR CaiI OR PstNI) AND (BsiSI OR MspI),237_1017,80_860,369.0,25.47,1615.871,22.49,3.64138032058620,0.976558473150665,0.25|0.2,369
(BpmI OR GsuI) AND (BsiSI OR MspI),317_957,160_800,388.0,26.78,1761.058,20.64,3.65694193398758,0.971213572759800,0.25|0.2,388
(BsiSI OR MspI) AND (BstXI),177_1157,20_1000,365.0,25.19,1673.814,21.71,3.66141433157730,0.991405990217346,0.25|0.2,365
(BsiSI OR MspI) AND (PvuII),177_1157,20_1000,368.0,25.4,1703.973,21.33,3.66561489027599,0.988507650397216,0.25|0.2,368
(BsiSI OR MspI) AND (Eam1104I),317_917,160_760,375.0,25.88,1744.798,20.83,3.66771388702686,0.959853057957536,0.25|0.2,375
(BsiSI OR MspI) AND (BtsI),217_1137,60_980,373.0,25.74,1738.518,20.9,3.66847035976521,0.987946688740627,0.25|0.2,373
(BbsI OR BpiI) AND (BsiSI OR MspI),237_997,80_840,371.0,25.6,1747.047,20.8,3.67293067914927,0.971094863891721,0.25|0.2,371
(BsiSI OR MspI) AND (Bsp1286I OR SduI),337_657,180_500,366.0,25.26,1752.716,20.73,3.68023046582492,0.978668642844519,0.25|0.2,366
(BsiSI OR MspI) AND (SmlI OR SmoI),277_797,120_640,364.0,25.12,1744.998,20.83,3.68069354988714,0.978988283589268,0.25|0.2,364
(AcuI OR Eco57I) AND (BsiSI OR MspI),277_817,120_660,368.0,25.4,1781.144,20.4,3.68485121357878,0.970524025397173,0.25|0.2,368
(BsiSI OR MspI) AND (BstYI OR PsuI),317_857,160_700,364.0,25.12,1776.265,20.46,3.68840637478244,0.973218618619306,0.25|0.2,364
(BsaXI) AND (BsiSI OR MspI),197_1157,40_1000,366.0,25.26,1793.028,20.27,3.69010598618146,0.882818642010557,0.25|0.2,366
(BsiSI OR MspI) AND (BssT1I OR Eco130I OR EcoT14I OR ErhI OR StyI),297_737,140_580,369.0,25.47,1846.676,19.68,3.69936433883432,0.975318597198389,0.25|0.2,369
(AflIII) AND (BsiSI OR MspI),197_1157,40_1000,366.0,25.26,1842.991,19.72,3.70204212901084,0.979007289454808,0.25|0.2,366
(BfmI OR BstSFI OR SfcI) AND (BsiSI OR MspI),277_657,120_500,364.0,25.12,1834.983,19.8,3.70253066148380,0.973717468857582,0.25|0.2,364
(Bsp1286I OR SduI) AND (TaqI),337_677,180_520,382.0,26.36,1936.056,18.77,3.70485455211606,0.972325911567666,0.25|0.2,382
(HphI) AND (BsiSI OR MspI),317_617,160_460,368.0,25.4,1884.031,19.29,3.70924022575902,0.963366264596436,0.25|0.2,368
(BbvI OR BseXI OR Lsp1109I) AND (BsiSI OR MspI),317_737,160_580,399.0,27.54,2082.172,17.45,3.71754370632039,0.968557157134788,0.25|0.2,399
(AlwI OR BspPI) AND (BsiSI OR MspI),297_837,140_680,367.0,25.33,1968.205,18.46,3.72940426649573,0.989965012022455,0.25|0.2,367
(Bsp1286I OR SduI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),277_677,120_520,364.0,25.12,1973.51,18.41,3.73413794770767,0.972405832466130,0.25|0.2,364
(BmeT110I OR BsoBI) AND (Bsp1286I OR SduI),277_677,120_520,370.0,25.53,2019.297,18.0,3.73699847599354,0.968456007678670,0.25|0.2,370
(BsaJI OR BseDI) AND (BsiSI OR MspI),317_497,160_340,380.0,26.22,2076.342,17.5,3.73751529228979,0.986585122461840,0.25|0.2,380
(BmeT110I OR BsoBI) AND (BbvI OR BseXI OR Lsp1109I),297_757,140_600,363.0,25.05,2016.986,18.02,3.74479625872755,0.980183396528875,0.25|0.2,363
(BsiSI OR MspI) AND (MlyI OR SchI),257_577,100_420,363.0,25.05,2035.105,17.86,3.74868019626184,0.972874712448027,0.25|0.2,363
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BsiSI OR MspI),277_417,120_260,368.0,25.4,2073.025,17.53,3.75075672090060,0.942169584853751,0.25|0.2,368
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BsiSI OR MspI),277_417,120_260,366.0,25.26,2073.042,17.53,3.75312701563021,0.943738270180673,0.25|0.2,366
(BsaWI) AND (BshFI OR BsuRI OR HaeIII),337_697,180_540,397.0,27.4,2265.127,16.04,3.75630205007269,0.979666913115823,0.25|0.2,397
(BshFI OR BsuRI OR HaeIII) AND (BsiSI OR MspI),277_477,120_320,382.0,26.36,2179.859,16.67,3.75636504009548,0.955009323293595,0.25|0.2,382
(Alw21I OR BsiHKAI) AND (TaqI),217_897,60_740,369.0,25.47,2133.027,17.04,3.76196998665408,0.977885967911599,0.25|0.2,369
(BshFI OR BsuRI OR HaeIII) AND (BspQI OR LguI OR SapI),297_557,140_400,385.0,26.57,2244.442,16.19,3.76564765750455,0.942921554399538,0.25|0.2,385
(Alw21I OR BsiHKAI) AND (BshFI OR BsuRI OR HaeIII),297_477,140_320,388.0,26.78,2262.579,16.06,3.76577202633390,0.962875845757450,0.25|0.2,388
(BpmI OR GsuI) AND (TaqI),257_1117,100_960,393.0,27.12,2300.573,15.8,3.76744346814005,0.981423644529691,0.25|0.2,393
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BssAI),277_477,120_320,394.0,27.19,2309.797,15.73,3.76807759111686,0.948876511848405,0.25|0.2,394
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BssAI),277_477,120_320,392.0,27.05,2309.641,15.73,3.77025841337581,0.949412953043371,0.25|0.2,392
(BssAI) AND (BshFI OR BsuRI OR HaeIII),337_697,180_540,371.0,25.6,2210.717,16.44,3.77515924128354,0.975248155080717,0.25|0.2,371
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (Bsp1286I OR SduI),277_677,120_520,364.0,25.12,2173.258,16.72,3.77600990333651,0.973690433957002,0.25|0.2,364
(BshFI OR BsuRI OR HaeIII) AND (NmeAIII),337_757,180_600,396.0,27.33,2381.485,15.26,3.77915266448739,0.976069232668894,0.25|0.2,396
(BsaWI) AND (Bsp1286I OR SduI),257_717,100_560,365.0,25.19,2215.03,16.41,3.78308674815509,0.958980857780338,0.25|0.2,365
(BmtI OR BspOI) AND (Bsp1286I OR SduI),277_797,120_640,371.0,25.6,2252.157,16.14,3.78322475269970,0.970132702078341,0.25|0.2,371
(BlpI OR Bpu1102I) AND (BshFI OR BsuRI OR HaeIII),297_557,140_400,375.0,25.88,2276.614,15.96,3.78325813448132,0.967605799195008,0.25|0.2,375
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BstYI OR PsuI),277_397,120_240,370.0,25.53,2246.866,16.17,3.78337544839847,0.935647059001209,0.25|0.2,370
(BmrI OR BmuI) AND (Bsp1286I OR SduI),317_697,160_540,364.0,25.12,2214.52,16.41,3.78417822323427,0.980562888370781,0.25|0.2,364
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BstYI OR PsuI),277_397,120_240,368.0,25.4,2240.808,16.22,3.78455682763720,0.925050569578267,0.25|0.2,368
(CspAI) AND (BshFI OR BsuRI OR HaeIII),337_717,180_560,368.0,25.4,2244.047,16.19,3.78518413000102,0.986954984378855,0.25|0.2,368
(BshFI OR BsuRI OR HaeIII) AND (Bsp1286I OR SduI),297_437,140_280,374.0,25.81,2281.93,15.93,3.78543071576076,0.974730418732333,0.25|0.2,374
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BspQI OR LguI OR SapI),277_517,120_360,443.0,30.57,2709.4,13.41,3.78646940024561,0.957044618484184,0.25|0.2,443
(BshFI OR BsuRI OR HaeIII) AND (XcmI),297_597,140_440,424.0,29.26,2596.569,14.0,3.78703401122842,0.961865063007779,0.25|0.2,424
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BspQI OR LguI OR SapI),277_517,120_360,442.0,30.5,2709.423,13.41,3.78745454381431,0.958744995392091,0.25|0.2,442
(BamHI) AND (BshFI OR BsuRI OR HaeIII),297_597,140_440,395.0,27.26,2432.637,14.94,3.78948021237604,0.953502190614846,0.25|0.2,395
(AhlI OR BcuI OR SpeI) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_517,120_360,433.0,29.88,2668.453,13.62,3.78977166153745,0.938042323198852,0.25|0.2,433
(Alw21I OR BsiHKAI) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_417,120_260,382.0,26.36,2354.235,15.44,3.78978644908309,0.926850509368458,0.25|0.2,382
(BmeT110I OR BsoBI) AND (BshFI OR BsuRI OR HaeIII),337_697,180_540,373.0,25.74,2298.894,15.81,3.78981011498195,0.972236511314637,0.25|0.2,373
(AxyI OR Bse21I OR Bsu36I OR Eco81I) AND (Bsp1286I OR SduI),277_717,120_560,363.0,25.05,2239.173,16.23,3.79018102372062,0.969374461702589,0.25|0.2,363
(BshFI OR BsuRI OR HaeIII) AND (MssI),297_717,140_560,435.0,30.02,2683.949,13.54,3.79028500222152,0.970012249710901,0.25|0.2,435
(BmeT110I OR BsoBI) AND (BssT1I OR Eco130I OR EcoT14I OR ErhI OR StyI),257_1117,100_960,368.0,25.4,2271.643,16.0,3.79049226218927,0.983236994022135,0.25|0.2,368
(BshFI OR BsuRI OR HaeIII) AND (Eco147I OR PceI OR SseBI OR StuI),297_717,140_560,430.0,29.68,2663.652,13.64,3.79200902905082,0.973122685288067,0.25|0.2,430
(BshFI OR BsuRI OR HaeIII),297_717,140_560,430.0,29.68,2663.652,13.64,3.79200902905082,0.973122685288067,0.25|0.2,430
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (BshFI OR BsuRI OR HaeIII),297_717,140_560,430.0,29.68,2663.652,13.64,3.79200902905082,0.973122685288067,0.25|0.2,430
(BshFI OR BsuRI OR HaeIII) AND (SbfI OR SdaI OR Sse8387I),297_717,140_560,433.0,29.88,2683.682,13.54,3.79224315693671,0.972347034792005,0.25|0.2,433
(BshFI OR BsuRI OR HaeIII) AND (Sfr274I),297_717,140_560,437.0,30.16,2711.105,13.4,3.79266490098540,0.974546484189357,0.25|0.2,437
(BamHI) AND (Bsp1286I OR SduI),257_677,100_520,366.0,25.26,2272.204,15.99,3.79296623464505,0.959874382987580,0.25|0.2,366
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BauI OR BssSI),277_517,120_360,422.0,29.12,2620.859,13.87,3.79313120593719,0.942703984759825,0.25|0.2,422
(BauI OR BssSI) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_517,120_360,422.0,29.12,2620.997,13.87,3.79315407289061,0.945190203356124,0.25|0.2,422
(BsiSI OR MspI) AND (Tsp45I),277_697,120_540,380.0,26.22,2366.456,15.36,3.79431483733622,0.981726986326033,0.25|0.2,380
(SfuI) AND (BshFI OR BsuRI OR HaeIII),297_717,140_560,436.0,30.09,2716.067,13.38,3.79445398965777,0.978041289955027,0.25|0.2,436
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (Alw21I OR BsiHKAI),277_437,120_280,419.0,28.92,2611.757,13.91,3.79471874440381,0.931709939357930,0.25|0.2,419
(AhlI OR BcuI OR SpeI) AND (AjnI OR EcoRII OR Psp6I OR PspGI),277_517,120_360,428.0,29.54,2668.412,13.62,3.79480911601866,0.940609067860360,0.25|0.2,428
(BssAI) AND (Bsp1286I OR SduI),277_837,120_680,365.0,25.19,2275.779,15.97,3.79483722114855,0.975596590280579,0.25|0.2,365
(Bpu10I) AND (BshFI OR BsuRI OR HaeIII),337_637,180_480,373.0,25.74,2328.318,15.61,3.79533346384856,0.962039312405265,0.25|0.2,373
(BssT1I OR Eco130I OR EcoT14I OR ErhI OR StyI) AND (TaqI),297_917,140_760,369.0,25.47,2307.292,15.75,3.79607619410277,0.975103161095222,0.25|0.2,369
(BsiSI OR MspI) AND (MslI OR RseI),297_917,140_760,368.0,25.4,2302.344,15.78,3.79632239468640,0.974290835420972,0.25|0.2,368
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BmtI OR BspOI),277_517,120_360,419.0,28.92,2625.128,13.84,3.79693646128555,0.942066789472871,0.25|0.2,419
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BmtI OR BspOI),277_597,120_440,497.0,34.3,3116.158,11.66,3.79726308105940,0.948372639141203,0.25|0.2,497
(BpmI OR GsuI) AND (BshFI OR BsuRI OR HaeIII),277_437,120_280,369.0,25.47,2314.457,15.7,3.79742275033320,0.963243894589694,0.25|0.2,369
(BsiSI OR MspI) AND (NspI OR XceI),257_917,100_760,393.0,27.12,2465.287,14.74,3.79747493520975,0.976959340348975,0.25|0.2,393
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_597,120_440,472.0,32.57,2962.756,12.27,3.79775388766979,0.947138592374302,0.25|0.2,472
(Alw21I OR BsiHKAI) AND (Bpu10I),197_957,40_800,363.0,25.05,2281.127,15.93,3.79824283992655,0.974314691129878,0.25|0.2,363
(BauI OR BssSI) AND (Bsp1286I OR SduI),277_917,120_760,385.0,26.57,2420.238,15.02,3.79839734597786,0.968217113465350,0.25|0.2,385
(AccB7I OR PflMI OR Van91I) AND (Bsp1286I OR SduI),277_637,120_480,366.0,25.26,2300.863,15.79,3.79840967490164,0.977060700155004,0.25|0.2,366
(Bsp1286I OR SduI) AND (XbaI),277_697,120_540,363.0,25.05,2282.484,15.92,3.79850111681707,0.974054647192054,0.25|0.2,363
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (PflFI OR PsyI OR Tth111I),277_517,120_360,419.0,28.92,2640.779,13.76,3.79951803477357,0.938784146351218,0.25|0.2,419
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (XcmI),277_517,120_360,458.0,31.61,2887.889,12.58,3.79971501850664,0.951947711581481,0.25|0.2,458
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (MssI),277_517,120_360,400.0,27.61,2522.628,14.41,3.79979322056149,0.943652288032341,0.25|0.2,400
(BshFI OR BsuRI OR HaeIII) AND (SmiI OR SwaI),337_717,180_560,365.0,25.19,2302.208,15.79,3.79985169426883,0.987286386617938,0.25|0.2,365
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (MssI),277_597,120_440,476.0,32.85,3002.818,12.1,3.79992205780316,0.956745657021776,0.25|0.2,476
(CspAI) AND (AjnI OR EcoRII OR Psp6I OR PspGI),277_597,120_440,477.0,32.92,3009.531,12.08,3.79998044214108,0.953023970600344,0.25|0.2,477
(CspAI) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_597,120_440,477.0,32.92,3009.58,12.07,3.79998751309545,0.953785481987224,0.25|0.2,477
(Bsp1286I OR SduI) AND (PstI),277_697,120_540,366.0,25.26,2311.901,15.72,3.80048814743615,0.974596949073454,0.25|0.2,366
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (PflFI OR PsyI OR Tth111I),277_517,120_360,418.0,28.85,2640.419,13.76,3.80049656742399,0.939481045730882,0.25|0.2,418
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BstXI),277_517,120_360,447.0,30.85,2824.306,12.87,3.80060422551978,0.946801107534141,0.25|0.2,447
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (XcmI),277_517,120_360,457.0,31.54,2887.606,12.58,3.80062173546936,0.953791088362886,0.25|0.2,457
(Bsp1286I OR SduI) AND (PvuII),277_697,120_540,369.0,25.47,2334.257,15.57,3.80112230368968,0.969827303768421,0.25|0.2,369
(BamHI) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_517,120_360,423.0,29.19,2676.335,13.58,3.80120010627439,0.941451774495861,0.25|0.2,423
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (SbfI OR SdaI OR Sse8387I),277_597,120_440,475.0,32.78,3007.125,12.08,3.80145787157905,0.954215550365408,0.25|0.2,475
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (SbfI OR SdaI OR Sse8387I),277_597,120_440,475.0,32.78,3007.143,12.08,3.80146047116413,0.953460890935937,0.25|0.2,475
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BamHI),277_597,120_440,502.0,34.64,3178.457,11.43,3.80151262327490,0.954946054296045,0.25|0.2,502
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BstXI),277_517,120_360,446.0,30.78,2824.314,12.87,3.80157812010052,0.949163254959438,0.25|0.2,446
(AhlI OR BcuI OR SpeI) AND (BshFI OR BsuRI OR HaeIII),337_717,180_560,376.0,25.95,2381.375,15.26,3.80163994510429,0.986388575744413,0.25|0.2,376
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BsaWI),277_597,120_440,493.0,34.02,3126.578,11.62,3.80222234839388,0.961069822312565,0.25|0.2,493
(BshFI OR BsuRI OR HaeIII) AND (KpnI),297_697,140_540,431.0,29.74,2733.441,13.29,3.80223243413198,0.967570296856462,0.25|0.2,431
(Bsp1286I OR SduI) AND (Sfr274I),277_917,120_760,368.0,25.4,2335.263,15.56,3.80248797972614,0.970028350230502,0.25|0.2,368
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BlpI OR Bpu1102I),277_557,120_400,476.0,32.85,3021.486,12.03,3.80261363357312,0.961334945575784,0.25|0.2,476
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BlpI OR Bpu1102I),277_517,120_360,432.0,29.81,2742.508,13.25,3.80266415628718,0.955468817729605,0.25|0.2,432
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (Sfr274I),277_597,120_440,479.0,33.06,3041.335,11.95,3.80272874646598,0.959749653735958,0.25|0.2,479
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (Sfr274I),277_597,120_440,479.0,33.06,3041.36,11.95,3.80273231638426,0.959016059214129,0.25|0.2,479
(Eam1105I) AND (BshFI OR BsuRI OR HaeIII),297_717,140_560,441.0,30.43,2800.971,12.97,3.80287002288833,0.973884129421961,0.25|0.2,441
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BsaWI),277_597,120_440,492.0,33.95,3126.985,11.62,3.80316069519036,0.961880678970751,0.25|0.2,492
(BshFI OR BsuRI OR HaeIII) AND (PacI),297_717,140_560,430.0,29.68,2738.401,13.27,3.80402858914445,0.973336383523454,0.25|0.2,430
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (CsiI OR MabI OR SexAI),277_597,120_440,468.0,32.3,2983.391,12.18,3.80446432218349,0.955996240024418,0.25|0.2,468
(BshFI OR BsuRI OR HaeIII) AND (SacI OR SstI),297_597,140_440,382.0,26.36,2436.54,14.91,3.80471018255594,0.970058993520542,0.25|0.2,382
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),277_597,120_440,493.0,34.02,3146.643,11.55,3.80500055387912,0.950985427545014,0.25|0.2,493
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),277_597,120_440,493.0,34.02,3146.833,11.55,3.80502677657437,0.947335682324822,0.25|0.2,493
(BmeT110I OR BsoBI) AND (HphI),317_917,160_760,389.0,26.85,2485.078,14.62,3.80539042330821,0.974688349663255,0.25|0.2,389
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (PasI),277_597,120_440,467.0,32.23,2983.489,12.18,3.80540756039124,0.955950172087185,0.25|0.2,467
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (PasI),277_597,120_440,467.0,32.23,2983.497,12.18,3.80540872491747,0.956712290102874,0.25|0.2,467
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (CsiI OR MabI OR SexAI),277_597,120_440,467.0,32.23,2984.221,12.18,3.80551410161471,0.955925160530187,0.25|0.2,467
(AjnI OR EcoRII OR Psp6I OR PspGI),277_597,120_440,467.0,32.23,2984.221,12.18,3.80551410161471,0.955925160530187,0.25|0.2,467
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_597,120_440,467.0,32.23,2984.221,12.18,3.80551410161471,0.956692798075742,0.25|0.2,467
(CspAI) AND (Bsp1286I OR SduI),277_917,120_760,363.0,25.05,2320.1,15.66,3.80560007904110,0.968520672198964,0.25|0.2,363
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (TscAI OR TspRI),277_357,120_200,393.0,27.12,2512.09,14.47,3.80564264432476,0.914740819036940,0.25|0.2,393
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (NmeAIII),277_597,120_440,481.0,33.2,3077.017,11.81,3.80598481928403,0.961870916675086,0.25|0.2,481
(BsaJI OR BseDI) AND (BsaWI),297_557,140_400,410.0,28.3,2623.762,13.85,3.80614058115824,0.966642800491829,0.25|0.2,410
(AjnI OR EcoRII OR Psp6I OR PspGI) AND (PaeI OR SphI),277_537,120_380,452.0,31.19,2893.231,12.56,3.80624467495837,0.959488869326500,0.25|0.2,452
(BshFI OR BsuRI OR HaeIII) AND (PasI),337_717,180_560,367.0,25.33,2349.166,15.47,3.80624764232406,0.982208004314615,0.25|0.2,367
(BmtI OR BspOI) AND (BshFI OR BsuRI OR HaeIII),297_717,140_560,442.0,30.5,2831.941,12.83,3.80666193177268,0.973833143257327,0.25|0.2,442
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (NmeAIII),277_597,120_440,480.0,33.13,3076.869,11.81,3.80686776885295,0.962495258072713,0.25|0.2,480
(BanII OR Eco24I) AND (BshFI OR BsuRI OR HaeIII),297_557,140_400,393.0,27.12,2519.989,14.42,3.80700609467210,0.978951112317799,0.25|0.2,393
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (PaeI OR SphI),277_537,120_380,451.0,31.12,2893.174,12.56,3.80719801170346,0.963316518226760,0.25|0.2,451
(Bsp1286I OR SduI) AND (BstXI),277_697,120_540,363.0,25.05,2330.438,15.59,3.80753092822432,0.969772350133613,0.25|0.2,363
(BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI) AND (TscAI OR TspRI),277_357,120_200,391.0,26.98,2511.592,14.47,3.80777233366452,0.909446233214790,0.25|0.2,391
(BlpI OR Bpu1102I) AND (Bsp1286I OR SduI),257_717,100_560,364.0,25.12,2339.448,15.53,3.80801201272076,0.961742990234526,0.25|0.2,364
(BsaXI) AND (BshFI OR BsuRI OR HaeIII),297_537,140_380,363.0,25.05,2333.533,15.57,3.80810732186776,0.966028204314686,0.25|0.2,363
(AjuI) AND (BshFI OR BsuRI OR HaeIII),297_597,140_440,373.0,25.74,2399.01,15.15,3.80832322647001,0.951588417454389,0.25|0.2,373
(BbvI OR BseXI OR Lsp1109I) AND (TaqI),317_817,160_660,387.0,26.71,2489.463,14.6,3.80839471087666,0.987020662013580,0.25|0.2,387
(Bsp1286I OR SduI) AND (Eco147I OR PceI OR SseBI OR StuI),277_757,120_600,366.0,25.26,2354.744,15.43,3.80846261357340,0.975056159800978,0.25|0.2,366
(BshFI OR BsuRI OR HaeIII) AND (BstEII OR BstPI OR Eco91I OR EcoO65I),297_697,140_540,433.0,29.88,2788.429,13.03,3.80887169444991,0.976785256488065,0.25|0.2,433
(AccB7I OR PflMI OR Van91I) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),297_517,140_360,394.0,27.19,2540.043,14.31,3.80934484696155,0.954352075264993,0.25|0.2,394
(BbvI OR BseXI OR Lsp1109I) AND (BciT130I OR BseBI OR Bst2UI OR BstNI OR MvaI),277_397,120_240,383.0,26.43,2470.53,14.71,3.80959135798899,0.912115065247720,0.25|0.2,383
(BshFI OR BsuRI OR HaeIII) AND (PaeI OR SphI),297_697,140_540,446.0,30.78,2877.038,12.63,3.80961073938998,0.962858817922777,0.25|0.2,446
