>Ama87I_BsiSI
S015,169628191,2325
S031,179293049,532
S073,110211479,193
S091,56644556,544
S098,150981237,944
S099,39025650,441
S115,68497169,106
S120_S291,68046975,1888
S130,236391132,3949
S132,214603049,167
S133,111227489,1915
S134,54547785,510
S146,243842043,3904
S164,19420025,673
S191,32221944,253
S193,201955303,151
S204,156592041,138
S228,150293872,217
S236,47414407,1325
S239,42766815,203
S240,36100146,170
S245,31618722,688
S247,95117997,3299
S255,1232575,262
S269,23531504,43
S276,200873232,239
S299,46666264,1738
S307,206507825,27
S330,224114472,29
S334,35573499,63
S348,223393362,19
S025,86337886,57
S029,74528894,323
S042,86437436,3591
S055,199955423,19
S075,169479630,109
S108,25168887,829
S112,134248307,4205
S137,216859075,995
S140,226835632,265
S147,200510262,3344
S150,48755781,225
S159,199954262,261
S179,227870277,1152
S183,27051337,125
S216,120790010,2736
S242,60756172,133
S263,233030650,961
S272,113059466,37
S290,101001236,618
S322,11670168,213
S034,131027079,68
S043,51670315,634
S048,127673512,72
S054,51981809,1071
S056,31981266,27
S064_S232,51974446,340
S080,45025088,2234
S111,45841937,270
S152,39191936,2969
S153,138434896,241
S156,33796816,1546
S175,195443381,799
S182,152266158,1657
S201,47579630,80
S214,100260226,624
S237,47513954,253
S238,53046594,124
S260,47513517,110
S265,115621657,2105
S286,184361379,137
S296,33097124,114
S306,156670459,3621
S318,38263518,2601
S321,122515036,375
S325,9362459,588
S338,47476317,67
S041,94207972,3191
S044,52045914,5526
S078,55509853,697
S079,90835305,6129
S129,6269870,91
S206,46994182,4443
S212,81204728,4009
S226,118032443,896
S227,3463251,89
S259,94452117,79
S266,82799056,271
S294,87006246,530
S315,157220602,219
S351,82890970,83
S062,127516641,841
S104,32711320,221
S117,17216150,313
S136,151347897,1245
S209,171420137,374
S248,139389792,1120
S277,55994895,45
S281,134873679,695
S300,115545032,136
S316,58460934,2760
S346,176365846,69
S019,3848794,353
S030,62286553,5911
S046,30883752,454
S063,56842858,343
S085,25650966,1411
S141,169789966,98
S143,109382241,596
S177,29348206,8317
S192,143060493,53
S195,128520824,151
S199,136793209,363
S203,31112334,1506
S229,31730395,59
S289,18122407,93
S297,3228080,220
S339,152637320,75
S341,38702054,810
S343,157822796,72
S008,54759952,970
S013,31687204,952
S020,101019904,386
S052_S230,94657481,628
S057,101165725,57
S065,130733483,79
S067,150329376,991
S116,137846322,123
S172,24572757,210
S173,130440181,599
S176,121396558,825
S196,100436587,418
S221,43729285,258
S261,73434096,245
S279,95594975,1253
S288,2313718,125
S292,139340355,139
S349,88759581,155
S036,41307844,496
S070,23404371,477
S074,119066007,1703
S106,143038196,541
S109,66432262,203
S180,42540414,686
S181,119637474,3366
S184,12951492,19
S187,30384130,33
S205,47737814,208
S235,123274756,154
S270,25459038,207
S282,85433457,4774
S302,27491404,784
S313,96493615,56
S320,22155476,1031
S331,22129941,498
S009,129080007,533
S024,71911708,758
S033,136946095,162
S040,83957028,868
S058,37465587,276
S095,69035104,352
S096,131735553,2303
S122,130664712,75
S128,34661440,1611
S145,125707340,276
S207,134327210,73
S252,5450558,1455
S308,2837232,5993
S003,35605279,858
S006,133526941,425
S018,70785264,658
S022,30983462,4376
S060,84172733,1309
S061,71962867,603
S119,51074582,339
S160,69627867,2290
S219,44960024,86
S231,73642327,423
S244,125824063,618
S011,126356056,82
S017,57336017,992
S086,34103658,2019
S105,68010462,33
S118,65557641,115
S138,125743421,10069
S161,12009091,109
S166,65920244,297
