>BsiSI
S015,169628191,2325
S031,179293049,532
S073,110211479,193
S091,56641936,3164
S098,150981237,944
S099,39025650,441
S115,68497015,2317
S120_S291,68046975,2775
S130,236391132,3949
S132,214603049,167
S133,111227489,1915
S134,54547785,510
S146,243839904,6043
S164,19420025,673
S191,32221944,253
S193,201955303,196
S204,156592041,138
S228,150293872,217
S236,47414407,1325
S239,42766815,203
S240,36100146,171
S245,31618722,688
S247,95117968,3328
S255,1232575,284
S269,23531504,57
S276,200873232,315
S299,46666264,1739
S307,206507825,27
S330,224114472,29
S334,35573499,63
S348,223393307,74
S025,86337886,471
S029,74528772,445
S042,86437436,3591
S055,199955196,246
S075,169479213,526
S108,25168887,829
S112,134248307,10784
S137,216859075,996
S140,226835632,265
S147,200510262,3344
S150,48755781,225
S159,199954262,262
S179,227870277,1152
S183,27051337,125
S216,120790010,3176
S242,60756172,133
S263,233030650,961
S272,113059466,37
S290,101001236,618
S322,11670168,812
S034,131027079,68
S043,51670315,714
S048,127673512,72
S054,51981809,1071
S056,31981266,28
S064_S232,51974091,695
S080,45025088,2235
S111,45841937,270
S152,39191936,2970
S153,138434860,277
S156,33796816,1546
S175,195443300,880
S182,152261216,6913
S201,47579630,80
S214,100260226,752
S237,47513954,292
S238,53046594,124
S260,47513517,110
S265,115621657,2811
S286,184361379,137
S296,33097124,114
S306,156670459,3621
S318,38263518,2601
S321,122515036,375
S325,9362459,588
S338,47476317,68
S041,94207876,4459
S044,52045914,5526
S078,55509853,2939
S079,90835305,6129
S129,6269870,91
S206,46994148,4510
S212,81204728,4009
S226,118032443,964
S227,3463251,89
S259,94452090,106
S266,82799056,1388
S294,87006246,557
S315,157220602,219
S351,82890970,83
S062,127516641,841
S104,32711320,221
S117,17216150,313
S136,151347570,2575
S209,171420137,374
S248,139389596,1316
S277,55994895,45
S281,134873522,852
S300,115544906,4523
S316,58460934,2760
S346,176365846,70
S019,3848794,353
S030,62286183,6281
S046,30883752,454
S063,56842858,343
S085,25650966,1411
S141,169789736,335
S143,109382241,596
S177,29347886,8637
S192,143060493,117
S195,128520824,436
S199,136793209,363
S203,31112279,1561
S229,31730395,59
S289,18122380,120
S297,3228080,220
S339,152637320,76
S341,38702023,848
S343,157822796,72
S008,54759952,971
S013,31687204,2372
S020,101019904,573
S052_S230,94657481,629
S057,101165725,57
S065,130733483,80
S067,150329376,991
S116,137846322,123
S172,24572757,273
S173,130440181,599
S176,121396558,825
S196,100436587,418
S221,43729285,258
S261,73434096,245
S279,95594975,1267
S288,2313718,209
S292,139340355,139
S349,88759581,155
S036,41307844,496
S070,23404353,495
S074,119066007,1703
S106,143038196,656
S109,66431955,510
S180,42540414,686
S181,119637474,3367
S184,12951492,19
S187,30384130,33
S205,47737814,208
S235,123274574,356
S270,25458820,425
S282,85427430,10801
S302,27491404,784
S313,96493615,56
S320,22154893,1614
S331,22129941,498
S009,129079972,568
S024,71911708,758
S033,136945858,885
S040,83957028,868
S058,37465587,276
S095,69035104,352
S096,131735553,2580
S122,130664712,160
S128,34661440,1611
S145,125707340,948
S207,134327210,74
S252,5450496,1517
S308,2837232,5993
S003,35605279,859
S006,133526941,426
S018,70784630,1292
S022,30983462,4376
S060,84172733,1309
S061,71962867,716
S119,51074582,339
S160,69627867,2290
S219,44959809,301
S231,73642327,460
S244,125824036,645
S011,126356056,82
S017,57336017,992
S086,34103658,2019
S105,68010462,33
S118,65557641,115
S138,125743421,10070
S161,12008959,241
S166,65920244,297
